system:index,DATE_ACQUIRED,NDSI_mean,SPACECRAFT_ID,Trat_1,polygon_id,.geo
00000000000000000081_1_2_LT05_200034_20110211,2011-02-11,-0.35053110715989827,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_2_LT05_200034_20110227,2011-02-27,-0.09561101127868135,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_2_LT05_200034_20110331,2011-03-31,-0.42178150940725717,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_2_LT05_200034_20111110,2011-11-10,-0.41680352128569326,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_2_LE07_200034_19991117,1999-11-17,0.6591405066735986,LANDSAT_7,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_2_LE07_200034_19991203,1999-12-03,-0.22499036954952742,LANDSAT_7,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_2_LE07_200034_20000120,2000-01-20,0.5990376873468504,LANDSAT_7,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_2_LE07_200034_20000205,2000-02-05,-0.22563500938928246,LANDSAT_7,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_2_LE07_200034_20001119,2000-11-19,-0.2561402606337331,LANDSAT_7,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_2_LE07_200034_20010207,2001-02-07,-0.028715636082860173,LANDSAT_7,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_2_LE07_200034_20010311,2001-03-11,-0.35705830982100245,LANDSAT_7,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_2_LE07_200034_20021125,2002-11-25,0.7996043428322015,LANDSAT_7,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_2_LE07_200034_20030112,2003-01-12,0.6048537229214511,LANDSAT_7,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_2_LE07_200034_20030128,2003-01-28,-0.3083800865722362,LANDSAT_7,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_2_LE07_200034_20030301,2003-03-01,0.5128393567223408,LANDSAT_7,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000164_1_1_LT05_200034_19840523,1984-05-23,0.5171966443049798,LANDSAT_5,NI,699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000164_1_1_LT05_200034_19840608,1984-06-08,-0.01476990942652199,LANDSAT_5,NI,699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000164_1_1_LT05_200034_19850102,1985-01-02,-0.22641013118551176,LANDSAT_5,NI,699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000164_1_1_LT05_200034_19850118,1985-01-18,0.31875353535060674,LANDSAT_5,NI,699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000164_1_1_LT05_200034_19850219,1985-02-19,-0.18935999804670994,LANDSAT_5,NI,699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000164_1_1_LT05_200034_19850307,1985-03-07,-0.17638699778118241,LANDSAT_5,NI,699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000164_1_1_LT05_200034_19860121,1986-01-21,0.3627986520551869,LANDSAT_5,NI,699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000164_1_1_LT05_200034_19860222,1986-02-22,0.30983221690356927,LANDSAT_5,NI,699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000164_1_1_LT05_200034_19860310,1986-03-10,0.4689182807121336,LANDSAT_5,NI,699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000164_1_1_LT05_200034_19860326,1986-03-26,-0.2301027179888488,LANDSAT_5,NI,699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000164_1_1_LT05_200034_19860411,1986-04-11,0.39474140596557156,LANDSAT_5,NI,699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000164_1_1_LT05_200034_19860427,1986-04-27,0.3940395393607524,LANDSAT_5,NI,699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000164_1_1_LT05_200034_19860513,1986-05-13,0.5505637505695031,LANDSAT_5,NI,699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000164_1_1_LT05_200034_19861004,1986-10-04,0.16495888741276238,LANDSAT_5,NI,699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000164_1_1_LT05_200034_19861207,1986-12-07,0.2865668552409117,LANDSAT_5,NI,699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000164_1_1_LT05_200034_19870124,1987-01-24,0.320067481629219,LANDSAT_5,NI,699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000164_1_1_LT05_200034_19870209,1987-02-09,0.8979309075219518,LANDSAT_5,NI,699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000164_1_1_LT05_200034_19870225,1987-02-25,0.24257936296160568,LANDSAT_5,NI,699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000164_1_1_LT05_200034_19870313,1987-03-13,0.07810115275930636,LANDSAT_5,NI,699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000164_1_1_LT05_200034_19870329,1987-03-29,-0.28759209478487796,LANDSAT_5,NI,699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000164_1_1_LT05_200034_19870414,1987-04-14,-0.27727156736627295,LANDSAT_5,NI,699,"{""type"":""MultiPoint"",""coordinates"":[]}"
