Season;Year;Month;value;Source;link
2013-2014;2014;Enero;48;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2013-2014;2014;Febrero;95;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2013-2014;2014;Marzo;50;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2013-2014;2014;Abril;80;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2013-2014;2014;Mayo;42;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2014-2015;2015;Diciembre;2;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2014-2015;2015;Enero;61;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2014-2015;2015;Febrero;32;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2014-2015;2015;Marzo;95;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2014-2015;2015;Abril;95;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2014-2015;2015;Mayo;22;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2015-2016;2016;Diciembre;2;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2015-2016;2016;Enero;5;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2015-2016;2016;Febrero;21;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2015-2016;2016;Marzo;45;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
